"Summary","UID","Description","Location","Start Time","End Time","URL"
"Save This Seat exhibits spotlight relationship violence","22105@utexas.edu","Save This Seat is a day-long installation in which a classroom seat is ""saved,"" or left empty, for each young woman killed in Texas in the last four years by an intimate partner. Data for this project are collected and distributed by the Texas Council on Family Violence (http://www.tcfv.org/our-work/honoring-texas-victims). To volunteer, email voicesagainstviolence@austin.utexas.edu.","Campus-wide","2012-10-01 08:00:00-05:00","2012-10-01 17:00:00-05:00","http://www.cmhc.utexas.edu/vav.html"
"Landmarks Video presents work by Jesse Fleming","21292@utexas.edu","Landmarks Video presents ""The Snail and the Razor"" (2012) by videographer Jesse Fleming in which a trained snail climbs up and over a razor blade in a single frame. On view throughout October.



Over the past ten years, Fleming has taken his viewers on immersive, transcendent journeys by employing straightforward, uncomplicated methods. Whether focused on a solitary event or space, or on his own experimental voyages, he invites his audience to meditate on the extraordinary acts and behavior of ordinary beings.","Art Building (ART), atrium, Landmarks Video Media Station","2012-10-01 09:00:00-05:00","2012-10-01 23:00:00-05:00","http://landmarks.utexas.edu/events/jesse_fleming"
"Resident assistant applications available now","22164@utexas.edu","Resident assistant (RA) applications are now available and are due Wednesday, Oct. 24. Visit link below.



","Online","2012-10-01 09:00:00-05:51","2012-10-01 17:00:00-05:51","http://www.utexas.edu/student/housing/index.php?site=19&scode=0&id=1858"
"Razas de maíz & plant publics are anthropologist's topic","22116@utexas.edu","The Department of Anthropology 

2012-2013 Speaker Series presents a talk by UT anthropology professor John Hartigan titled ""Life Forms:  Cultivating Razas de Maíz and Plant Publics."" Based on ethnographic research in Mexico and Spain, this talk engages the challenges presented by nonhuman forms of race. 



Starting with a biodiversity genetics research institute and then using a series of botanical gardens as touchstones, Hartigan examines the varieties of parallelisms between plants and people that are developed to make sense of multispecies relations.","Student Activity Center (SAC) 5.118","2012-10-01 12:00:00-05:00","2012-10-01 13:00:00-05:00","http://www.utexas.edu/cola/depts/anthropology/events/24417"
"Latin America's new trade dependency is lecture topic","21479@utexas.edu","In a talk titled ""Deja Vu: Latin America and Its New Trade Dependency,"" Dr. Jaime Ortiz examines the sources of economic growth for a group of Latin American countries in relation to their export performance in China.","Sid Richardson Hall (SRH), Hackett Room 1.313","2012-10-01 12:00:00-05:00","2012-10-01 14:00:00-05:00","http://www.utexas.edu/cola/insts/llilas/events/23689"
"Edwidge Danticat's Vodou transnationalism is talk topic","21632@utexas.edu","The CWGS Speaker Series Brown Bag Lunch presents a talk by Gwen Bergner, West Virginia University, ""One and One Is Three: Edwidge Danticat's Vodou Transnationalism."" Bergner explores how the Haitian author works to counter negative fantasies of voodoo that have perpetuated the illusion that Haiti remains isolated from modern civilization.","Gebauer Building (GEB), 4th floor conference room","2012-10-01 12:30:00-05:00","2012-10-01 14:00:00-05:00","http://www.utexas.edu/cola/centers/cwgs/events/23680"
"French anthropology in the 20th century is talk topic","21730@utexas.edu","As part of the EU Center for Excellence Lecture Series in Anthropology, Professor Vincent Debaene, French Department, Columbia University, examines 20th-century French anthropology in a comparative perspective, bringing into relief the cultural specificity of a French disciplinary practice so often considered untranslatable to anthropologists from the English-speaking world.



He will delineate the complex and contradictory identity of an intellectual tradition which, since the 1920s, has made claims to both scientific rigor and avant-garde literary experimentation.","Student Activity Center (SAC), Legislative Assembly Room 2.302","2012-10-01 16:00:00-05:00","2012-10-01 18:00:00-05:00",""
"High-Tech borders in Palestine-Israel to be talk topic","22009@utexas.edu","""Digital Occupation: Hi-Tech Borders in Palestine-Israel"" is presented by Helga Tawil-Souri, associate professor of media, culture, and communication and Middle East and Islamic studies, New York University.","Littlefield House (LFH), 24th and Whitis","2012-10-01 16:00:00-05:00","2012-10-01 18:00:00-05:00","http://www.utexas.edu/cola/depts/mes/events/24242"
"""The Hockey Stick & the Climate Wars"" author talk presented","22010@utexas.edu","Author Michael Mann discusses his book ""The Hockey Stick and the Climate Wars: Dispatches from the Front Lines."" Mann directs the Penn State Earth System Science Center. Recognized by Scientific American as one of the 50 leading visionaries in science, he shared the Nobel Peace Prize in 2007 with other members of the Intergovernmental Panel on Climate Change (IPCC).","Applied Computational Engineering & Sciences Building (ACE), Avaya Auditorium 2.302","2012-10-01 16:00:00-05:00","2012-10-01 17:30:00-05:00","http://www.thehockeystick.net"
"Hook 'em Arts hosts general meeting","22151@utexas.edu","Hook 'em Arts is the official student voice of Texas Performing Arts. We find creative ways to promote shows around campus, host events in The Loft at Bass and attend performances together as a group. Attend a weekly meeting.","Bass Concert Hall (PAC), The Loft, 6th floor ","2012-10-01 17:00:00-05:00","2012-10-01 18:00:00-05:00","https://www.facebook.com/hookemarts?ref=hl"
